24003	08300002	1004	10000006	40000004	五1-2	100
24001	08300003	1004	10000007	50000001	五3-4	85
24002	08300004	1004	10000008	50000002	五5-6	80
24003	08300005	1004	10000009	50000003	五7-8	90
24001	08300006	1004	10000010	50000004	五9-11	65
24002	02200001	1005	10000011	10000001	一3-4	100
24003	02200002	1005	10000012	10000002	一5-6	80
24001	02200003	1005	10000013	10000003	一7-8	85
24002	02200004	1005	10000014	10000004	一9-11	60
24003	03300001	1005	10000015	20000001	一1-2	95
24001	03300002	1005	10000016	20000002	一3-4	65
24002	03300003	1005	10000017	20000003	一5-6	40
24003	04400001	1005	10000018	20000004	一7-8	70
24001	04400002	1005	10000019	30000001	一9-11	90
24002	04400003	1005	10000020	30000002	一1-2	65
24003	05000003	1005	10000021	30000003	一3-4	75
24001	05000004	1005	10000022	30000004	一5-6	70
24002	05500001	1005	10000023	40000001	一7-8	80
24003	05500002	1005	10000024	40000002	一9-11	50
24001	08300001	1005	10000025	40000003	一1-2	75
24002	08300002	1005	10000026	40000004	一3-4	100
24003	08300003	1005	10000027	50000001	一5-6	85
24001	08300004	1005	10000028	50000002	一7-8	80
24002	08300005	1005	10000029	50000003	一9-11	90
24003	08300006	1005	10000030	50000004	一1-2	65
24001	02200001	1006	10000031	10000001	二3-4	100
24002	02200002	1006	10000032	10000002	二5-6	80
24003	02200003	1006	10000033	10000003	二7-8	85
24001	02200004	1006	10000034	10000004	二9-11	60
24002	03300001	1006	10000035	20000001	二1-2	95
24003	03300002	1006	10000036	20000002	二3-4	65
24001	03300003	1006	10000037	20000003	二5-6	40
24002	04400001	1006	10000038	20000004	二7-8	70
24003	04400002	1006	10000039	30000001	二9-11	90
24001	04400003	1006	10000040	30000002	二1-2	65
24002	05000003	1006	10000041	30000003	二3-4	75
24003	05000004	1006	10000042	30000004	二5-6	70
24001	05500001	1006	10000043	40000001	二7-8	80
24002	05500002	1006	10000044	40000002	二9-11	50
24003	08300001	1006	10000045	40000003	二1-2	75
